SrcAddr,-1_5.0,-1_2.0,-1_0.0,-1_3.0,-1_4.0,-1_1.0,38_5.0,38_2.0,38_0.0,38_3.0,38_4.0,38_1.0,228_5.0,228_2.0,228_0.0,228_3.0,228_4.0,228_1.0,label,20_5.0,20_2.0,20_0.0,20_3.0,20_4.0,20_1.0,25_5.0,25_2.0,25_0.0,25_3.0,25_4.0,25_1.0,183_5.0,183_2.0,183_0.0,183_3.0,183_4.0,183_1.0
00:0c:29:97:a3:eb,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
00:15:17:2c:e5:2d,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.11.27.186,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.112.144.58,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.112.58.170,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.113.47.38,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.114.28.139,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.115.59.162,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.144.255.226,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.148.118.31,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.148.19.87,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.152.26.255,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.152.38.108,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.153.186.68,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.153.194.58,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.153.206.90,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.161.134.31,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.161.135.164,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.161.136.186,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.168.137.48,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.168.198.210,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.169.180.134,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.169.183.135,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.169.187.35,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.169.242.251,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.170.135.215,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.170.141.48,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.171.111.28,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.171.112.85,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.171.118.46,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.171.203.76,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.172.129.25,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.174.12.76,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.174.130.176,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.175.128.220,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.186.22.22,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.186.32.6,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.186.9.30,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.193.0.187,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.194.134.179,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.195.128.90,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.195.24.155,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.195.252.231,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.195.77.44,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.202.15.178,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.204.134.40,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.204.200.76,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.212.108.19,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.214.24.8,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.216.27.76,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.225.120.240,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.241.69.200,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.33.109.11,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.33.126.63,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.33.27.234,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.36.164.194,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.36.55.219,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.39.43.179,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.39.46.94,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.52.119.20,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.52.161.255,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.52.235.192,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.52.242.214,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.52.90.26,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.52.99.196,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.53.103.177,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.53.11.164,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.53.31.61,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.53.32.152,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.53.87.72,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.53.92.57,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.54.19.134,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.54.22.1,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.54.26.114,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.54.26.171,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.55.104.5,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
1.55.111.225,116.0,2.0,204.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,86.0,7.0,0.0,0.0,12.0,0.0,247.0,303.0,0.0,0.0
