SrcAddr,-1_1.0,-1_0.0,-1_3.0,-1_2.0,1_1.0,1_0.0,1_3.0,1_2.0,41_1.0,41_0.0,41_3.0,41_2.0,50_1.0,50_0.0,50_3.0,50_2.0,51_1.0,51_0.0,51_3.0,51_2.0,52_1.0,52_0.0,52_3.0,52_2.0,636_1.0,636_0.0,636_3.0,636_2.0,53_1.0,53_0.0,53_3.0,53_2.0,label,30_1.0,30_0.0,30_3.0,30_2.0,31_1.0,31_0.0,31_3.0,31_2.0,11_1.0,11_0.0,11_3.0,11_2.0,34_1.0,34_0.0,34_3.0,34_2.0,12_1.0,12_0.0,12_3.0,12_2.0,35_1.0,35_0.0,35_3.0,35_2.0,13_1.0,13_0.0,13_3.0,13_2.0,14_1.0,14_0.0,14_3.0,14_2.0,21_1.0,21_0.0,21_3.0,21_2.0,38_1.0,38_0.0,38_3.0,38_2.0,64_1.0,64_0.0,64_3.0,64_2.0,48_1.0,48_0.0,48_3.0,48_2.0,60_1.0,60_0.0,60_3.0,60_2.0,135_1.0,135_0.0,135_3.0,135_2.0,201_1.0,201_0.0,201_3.0,201_2.0,57_1.0,57_0.0,57_3.0,57_2.0,89_1.0,89_0.0,89_3.0,89_2.0,90_1.0,90_0.0,90_3.0,90_2.0,367_1.0,367_0.0,367_3.0,367_2.0,91_1.0,91_0.0,91_3.0,91_2.0,92_1.0,92_0.0,92_3.0,92_2.0,107_1.0,107_0.0,107_3.0,107_2.0,36_1.0,36_0.0,36_3.0,36_2.0,45_1.0,45_0.0,45_3.0,45_2.0,37_1.0,37_0.0,37_3.0,37_2.0,82_1.0,82_0.0,82_3.0,82_2.0,83_1.0,83_0.0,83_3.0,83_2.0,569_1.0,569_0.0,569_3.0,569_2.0,105_1.0,105_0.0,105_3.0,105_2.0,15_1.0,15_0.0,15_3.0,15_2.0,16_1.0,16_0.0,16_3.0,16_2.0
0.0.0.0,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
00:00:00:00:00:00,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
00:0c:29:97:a3:eb,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
00:15:17:2c:e5:2d,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
1.112.101.248,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
1.112.110.245,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
1.112.13.27,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
1.112.141.53,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
1.112.141.91,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
1.112.147.98,1926.0,1348.0,0.0,0.0,4626.0,5489.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4341.0,1826.0,0.0,0.0,,,,,2734.0,1305.0,0.0,0.0,,,,,1689.0,823.0,0.0,0.0,1439.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,1198.0,0.0,0.0,847.0,376.0,0.0,0.0,1157.0,378.0,0.0,0.0
